Date,Open,High,Low,Close,Adj Close,Volume,Open-Google,Volume-Google,Open-IBM,Volume-IBM,Open-Shell Oil,Volume-Shell Oil,Open-General Motors,Volume-General Motors
4/6/2019,5036.792969,5205.821777,4992.222168,5059.817383,5059.817383,16929795193,NA,NA,NA,NA,NA,NA,NA,NA
4/7/2019,5062.793945,5235.186523,5050.412109,5198.896973,5198.896973,16655416140,NA,NA,NA,NA,NA,NA,NA,NA
4/8/2019,5199.835449,5318.836426,5148.211914,5289.770996,5289.770996,17154113634,1211.109985,1087500,143.020004,2118200,66.5,853200,38.77,5992400
4/9/2019,5289.917969,5289.917969,5167.418945,5204.958496,5204.958496,14722104361,1201.890015,983400,142.660004,3038500,66.470001,1022800,38.849998,6528900
4/10/2019,5204.105469,5421.651367,5193.382324,5324.551758,5324.551758,15504590933,1205.089966,775500,142.199997,2678000,66.339996,855100,38.889999,5471100
4/11/2019,5325.081543,5354.225586,5017.296387,5064.487793,5064.487793,16555616019,1208.900024,849900,143.800003,2942000,66.470001,770300,39.380001,4581500
4/12/2019,5061.200684,5103.274414,4955.852539,5089.539063,5089.539063,13675206312,1215.619995,1215600,144.259995,2898900,66.550003,1225300,39.599998,4949700
4/13/2019,5088.850098,5127.12207,5061.589355,5096.586426,5096.586426,10823289598,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2019,5095.758789,5184.016113,5053.568359,5167.722168,5167.722168,10391952498,NA,NA,NA,NA,NA,NA,NA,NA
4/15/2019,5167.321777,5196.606934,5024.069336,5067.108398,5067.108398,12290155060,1224.089966,1189800,144.399994,3603200,66.209999,728800,39.900002,5179400
4/16/2019,5066.577637,5238.945313,5055.194824,5235.55957,5235.55957,11618660197,1230,1131100,144.399994,6301700,65.949997,813100,39.560001,5985300
4/17/2019,5236.135254,5274.275391,5219.205566,5251.937988,5251.937988,12438480676,1237,1518300,137.369995,12525700,66.18,920500,40.099998,8643500
4/18/2019,5251.480469,5319.986328,5250.506836,5298.385742,5298.385742,13256489918,1245,1237500,139,4960000,65.699997,1238400,40,10678000
4/19/2019,5298.154297,5336.680176,5233.335449,5303.8125,5303.8125,13780238655,NA,NA,NA,NA,NA,NA,NA,NA
4/20/2019,5304.160645,5358.490723,5295.87793,5337.88623,5337.88623,13169647522,NA,NA,NA,NA,NA,NA,NA,NA
4/21/2019,5335.878906,5359.924805,5257.339355,5314.53125,5314.53125,13731844222,NA,NA,NA,NA,NA,NA,NA,NA
4/22/2019,5312.494629,5422.6875,5280.276855,5399.365234,5399.365234,14601631647,1236.670044,954200,139.419998,4494000,66.110001,763900,40,7203800
4/23/2019,5399.365723,5633.802246,5389.408691,5572.361816,5572.361816,15867308107,1256.640015,1593400,139.149994,4462200,66.669998,1192500,39.400002,9507500
4/24/2019,5571.508301,5642.044434,5418.263184,5464.866699,5464.866699,17048033399,1270.589966,1169800,140.600006,2774900,65.739998,1486500,39.509998,5564700
4/25/2019,5466.524414,5542.238281,5181.338867,5210.515625,5210.515625,15330283408,1270.300049,1567200,139.699997,2910100,64.889999,980600,39.52,8154600
4/26/2019,5210.304688,5383.634277,5177.368652,5279.348145,5279.348145,16812108039,1273.380005,1361400,139.339996,2319800,64.529999,2383300,40.049999,11830500
4/27/2019,5279.471191,5310.75,5233.635742,5268.291016,5268.291016,13111274675,NA,NA,NA,NA,NA,NA,NA,NA
4/28/2019,5271.746582,5326.231934,5255.683594,5285.13916,5285.13916,12819992055,NA,NA,NA,NA,NA,NA,NA,NA
4/29/2019,5284.858398,5311.274902,5216.487793,5247.352539,5247.352539,13735490672,1280.51001,3618400,139.149994,2958300,63.959999,969000,39.75,9601100
4/30/2019,5247.726074,5363.257324,5224.189941,5350.726563,5350.726563,13878964573,1190.630005,6658900,139.110001,4638800,64.910004,1414600,38.919998,16035500
5/1/2019,5350.914551,5418.003906,5347.645996,5402.697266,5402.697266,13679528236,1197.5,3717000,140.550003,3053700,64.830002,1069400,39,8843300
5/2/2019,5402.422852,5522.262695,5394.217285,5505.283691,5505.283691,14644460907,1172.599976,2254900,140.5,3541400,65.57,1482400,38.459999,11291900
5/3/2019,5505.552246,5865.881836,5490.20166,5768.289551,5768.289551,18720780005,1177.410034,2079400,139.699997,2579900,66.099998,1257800,38.540001,7201000
5/4/2019,5769.202637,5886.893555,5645.469238,5831.16748,5831.16748,17567780765,NA,NA,NA,NA,NA,NA,NA,NA
5/5/2019,5831.068359,5833.862793,5708.035156,5795.708496,5795.708496,14808830722,NA,NA,NA,NA,NA,NA,NA,NA
5/6/2019,5791.693359,5802.95752,5653.6875,5746.807129,5746.807129,15737171804,1172,1588700,138.300003,2793300,64.910004,1378400,37.5,7506200
5/7/2019,5745.599121,5988.178223,5741.395996,5829.501465,5829.501465,18026409032,1185.810059,1830200,139.149994,4726800,63.43,5041000,38.860001,11257000
5/8/2019,5849.481445,5989.980957,5794.71582,5982.45752,5982.45752,15320605299,1177.290039,1276000,137.770004,3818900,63.330002,2030100,38.419998,7082900
5/9/2019,5982.316406,6183.039063,5982.316406,6174.528809,6174.528809,16784645410,1162.599976,1477800,134.889999,4192700,63.48,1101200,37.59,8898600
5/10/2019,6175.822754,6434.617676,6161.519043,6378.849121,6378.849121,19419875367,1168.839966,1582500,134.880005,3977600,63.880001,1009000,37.5,6440600
5/11/2019,6379.666992,7333.00293,6375.69873,7204.771484,7204.771484,28867562329,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2019,7203.507324,7503.87207,6815.770996,6972.371582,6972.371582,27773333679,NA,NA,NA,NA,NA,NA,NA,NA
5/13/2019,6971.178223,8047.413086,6898.282227,7814.915039,7814.915039,28677672181,1145.23999,2281300,133.279999,4958000,64.919998,1095400,36.849998,19454800
